name,line
Bilbo, My dear Frodo.
Bilbo," You asked me one once if I had told you everything there was to know about my adventures. And while I can honestly say I have told you the truth, I may not have told you all of it."
Bilbo," I am old now, Frodo. I’m not the same Hobbit I once was."
Bilbo," I think it is time for you to know what really happened. It began long ago in a land far away to the east, the like of which you will not find in the world today."
Bilbo," There was the city of Dale. Its markets known far and wide, full of the bounties of vine and"
Bilbo," Thror ruled with utter surety, never doubting his house would endure, for his line lay secure in the lives of his son and grandson. Ahhh, Frodo, Erebor; built deep within the mountain itself, the beauty of this fortress city was legend."
Bilbo," Its wealth lay in the earth, in precious gems hewed from rock, and in great seams of gold,"
Bilbo," But the years of peace and plenty were not to last. Slowly, the days turned sour, and the"
Bilbo," The first they heard was a noise like a hurricane coming down from the north. The pines on the mountain creaked and cracked in a hot, dry wind."
Thorin," Balin, sound the alarm. Call out the guard. Do it now!"
Balin, What is it?
Thorin, Dragon. Dragon!!!
Bilbo, It was a fire drake from the north. Smaug had come.
Bilbo," Such wanton death was dealt that day, for this city of men was nothing to Smaug; his eye was set on another prize. For dragons covet gold, with a dark and fierce desire."
Thorin, Stand firm!
Thror, No!
Bilbo," Erebor was lost, for a dragon will guard his plunder as long as he lives."
Thorin, Run for your lives! Help us!
Bilbo, Thranduil would not risk the lives of his kin against the wrath of the dragon. No help came
Bilbo," Robbed of their homeland, the dwarves of Erebor wandered the wilderness, a once mighty"
Bilbo," The young dwarf prince took work where he could find it, laboring in the villages of men, but always he remembered the mountain smoke beneath the moon, the trees like torches blazing bright, for he had seen dragon fire in the sky, and his city turned to ash, and never forgave, and he never forgot."
Bilbo," That, my dear Frodo, is where I come in. For quite by chance, and the will of a Wizard, fate decided I would become part of this tale. It began, well, it began as you might expect. In a hole in the ground, there lived a Hobbit. Not a nasty, dirty, wet hole, full of worms and oozy smells; this was a Hobbithole, and that means good food, a warm hearth, and all the comforts of home."
Bilbo, Thank you.
Frodo, What’s this?
Bilbo, That is private. Keep your sticky paws off. It’s not ready yet.
Frodo, Not ready for what?
Bilbo, Reading.
Bilbo, What on earth are these?
Frodo, Replies to the party invitations.
Bilbo, Oh! Good gracious! Is it today?
Frodo, They all said they’re coming. Except for the SackvilleBagginses; they’re demanding you ask them in person.
